mistake_id	text_id	type	text	attr_weight_language	cause	correction	tokens_id
38	6	suggestion	if you were	Major	Other	you would	343
39	6	Spelling	heave	Minor	Other	heavy	356
40	6	lex_item_choice	got	Major	Other	get	394
41	6	Articles	fat	Critical	Absence_of_Category_in_L1	the fat	416
42	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	424
42	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	425
43	6	Punctuation	:	Minor	Other	,	448
44	6	Punctuation	etc	Minor	Other	, etc	402
45	6	Articles	special combination	Critical	Absence_of_Category_in_L1	a special combination	470
45	6	Articles	special combination	Critical	Absence_of_Category_in_L1	a special combination	471
46	6	Prepositions	on	Major	Other	in	497
47	6	lex_item_choice	ratio	Major	Other	ration	508
48	6	Tense_choice	became	Major	Other	become	512
49	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	586
49	6	Articles	fitness center	Critical	Absence_of_Category_in_L1	a fitness center	587
50	6	Discourse	Although	Minor	Other	However	595
51	6	Prepositional_verb	to	Major	Other	NA	601
52	6	Punctuation	for example	Minor	Other	, for example,	619
53	6	Discourse	another 21	Major	Other	21 more	624
53	6	Discourse	another 21	Major	Other	21 more	625
54	6	suggestion	way	Major	Other	NA	642
55	6	Adjectives	more better	Major	Other	better	643
55	6	Adjectives	more better	Major	Other	better	644
55	7	Articles	financial crisis	Critical	Absence_of_Category_in_L1	the financial crisis	9
55	7	Articles	financial crisis	Critical	Absence_of_Category_in_L1	the financial crisis	10
56	7	Prepositions	in	Major	Other	at	16
57	7	Articles	crisis	Critical	Absence_of_Category_in_L1	the crisis	35
58	7	Articles	fall	Critical	Absence_of_Category_in_L1	the fall	57
59	7	Prepositions	2009	Major	Other	of 2009	58
60	7	Punctuation	as	Minor	Other	, as	81
61	7	Articles	crisis	Critical	Absence_of_Category_in_L1	the crisis	82
62	7	Formational_affixes	America	Major	Other	American	147
63	7	Articles	house	Critical	Absence_of_Category_in_L1	a house	117
64	7	Punctuation	where	Minor	Other	, where	120
65	7	Prepositions	of	Major	Other	in	158
66	7	Articles	government	Critical	Absence_of_Category_in_L1	the government	184
67	7	Articles	population	Critical	Absence_of_Category_in_L1	the population	250
68	7	Discourse	a town	Minor	Other	some towns	252
68	7	Discourse	a town	Minor	Other	some towns	253
69	7	lex_item_choice	most negative	Major	Other	worst	263
69	7	lex_item_choice	most negative	Major	Other	worst	264
70	7	Articles	crisis	Critical	Absence_of_Category_in_L1	the crisis	267
71	7	Prepositional_verb	approve	Major	Other	approve of	274
72	7	Articles	amount	Critical	Absence_of_Category_in_L1	the amount	288
73	7	Articles	crisis	Critical	Absence_of_Category_in_L1	the crisis	342
74	7	lex_item_choice	man	Major	Other	person	347
75	7	Prepositions	of	Major	Other	in	348
76	7	Articles	world	Critical	Absence_of_Category_in_L1	the world	349
77	7	Relative_clause	if	Major	Other	whether or not	350
78	7	Discourse	he	Minor	Other	(s)he	351
79	7	Punctuation	but	Minor	Other	, but	354
79	8	Tense_choice	is presenting	Critical	Other	presents	372
79	8	Tense_choice	is presenting	Critical	Other	presents	373
80	8	Absence_explanation	lexemes	Major	Other	similar lexemes	415
80	9	Articles	the	NA	NA	NA	29
81	9	Often_confused	presented	NA	NA	present	37
82	9	Redundant_comp	And	NA	NA	No conjunction or add to the previous sentence.	25
83	9	Prepositions	in	NA	NA	from	46
84	9	Prepositions	per	NA	NA	over the	77
85	9	Often_confused	each	NA	NA	every	88
86	9	Punctuation	,	NA	NA	:	91
87	9	Spelling	icrease	NA	NA	increase	103
88	9	Quantifiers	higher than	NA	NA	as high as	115
88	9	Quantifiers	higher than	NA	NA	as high as	116
89	9	Absence_comp_colloc	previous	NA	NA	previous number	118
90	9	Quantifiers	2,5	NA	NA	by 2.5	NA
91	9	Word_order	gradually discrease	NA	NA	decrease gradually	138
91	9	Word_order	gradually discrease	NA	NA	decrease gradually	139
92	9	Discourse	to	NA	NA	until it reaches	140
93	9	Choice_synonyms	life	NA	NA	survival	162
94	9	Quantifiers	over than	NA	NA	over OR more than	180
94	9	Quantifiers	over than	NA	NA	over OR more than	181
95	9	Choice_of_ref	is	NA	NA	arise	196
96	9	Word_choice	natural threats on the whole	NA	NA	all natural threats combined	228
96	9	Word_choice	natural threats on the whole	NA	NA	all natural threats combined	229
96	9	Word_choice	natural threats on the whole	NA	NA	all natural threats combined	230
96	9	Word_choice	natural threats on the whole	NA	NA	all natural threats combined	231
96	9	Word_choice	natural threats on the whole	NA	NA	all natural threats combined	232
97	9	Often_confused	people's	NA	NA	human	235
97	9	Often_confused	people's	NA	NA	human	236
98	9	Relative_clause	, that	NA	NA	, which OR that	238
98	9	Relative_clause	, that	NA	NA	, which OR that	239
99	9	Relative_clause	,	NA	NA	the same as the first comma	245
100	9	lex_item_choice	damageble	NA	NA	damaging OR harmful	NA
101	9	Punctuation	-	NA	NA	NA	NA
102	9	Relative_clause	harvesting	NA	NA	harvesting,	247
103	9	Articles	at	NA	NA	at the	253
104	9	Prepositions	-	NA	NA	of	255
105	9	Relative_clause	logging that	NA	NA	logging, which	261
105	9	Relative_clause	logging that	NA	NA	logging, which	262
106	9	Often_confused	prospective	NA	NA	prospect OR perspective	283
107	9	Absence_comp_colloc	brought	NA	NA	brought about	299
108	9	Countable_uncountable	extinction	NA	NA	extinctions	309
109	9	Prepositions	to	NA	NA	with	312
110	9	Absence_explanation	and	NA	NA	and consequently with the larger	318
111	9	Articles	the	NA	NA	NA	322
112	9	Absence_comp_sent	previous, in	NA	NA	previous, and	118
112	9	Absence_comp_sent	previous, in	NA	NA	previous, and	119
112	9	Absence_comp_sent	previous, in	NA	NA	previous, and	120
112	10	Articles	the	Critical	Absence_of_Category_in_L1	NA	2
113	10	Spelling	russian	Major	Typo	Russian	6
114	10	Articles	V conjugation class	Critical	Absence_of_Category_in_L1	the V conjugation class	37
114	10	Articles	V conjugation class	Critical	Absence_of_Category_in_L1	the V conjugation class	38
114	10	Articles	V conjugation class	Critical	Absence_of_Category_in_L1	the V conjugation class	39
115	10	Spelling	morfolonogical	Minor	Typo	morphonological	70
116	10	Tense_choice	was	Critical	L1_interference	is	85
117	10	Articles	Russian National Corpora	Critical	Absence_of_Category_in_L1	the Russian National Corpus	88
118	10	Spelling	Corpora	Minor	Other	Corpus	NA
119	10	Tense_choice	contained	Critical	L1_interference	contains	95
120	10	Punctuation	,	Minor	Typo	NA	102
121	10	Formational_affixes	derivated	Major	L1_interference	derived	107
122	10	Tense_choice	was	Critical	L1_interference	is	118
123	10	Punctuation	.	Minor	Typo	NA	141
123	11	note	problem	NA	NA	it is not a problem. It is a topic of research	7
124	11	note	assistance to the development of modern study	NA	NA	unclear	31
124	11	note	assistance to the development of modern study	NA	NA	unclear	32
124	11	note	assistance to the development of modern study	NA	NA	unclear	33
124	11	note	assistance to the development of modern study	NA	NA	unclear	34
124	11	note	assistance to the development of modern study	NA	NA	unclear	35
124	11	note	assistance to the development of modern study	NA	NA	unclear	36
124	11	note	assistance to the development of modern study	NA	NA	unclear	37
125	11	Countable_uncountable	es	Major	Other	NA	NA
126	11	Discourse	analysis the language	Major	Other	linguistic analysis	71
126	11	Discourse	analysis the language	Major	Other	linguistic analysis	72
126	11	Discourse	analysis the language	Major	Other	linguistic analysis	73
127	11	Interrogative	does	Critical	Other	NA	81
128	11	Prepositions	under	Critical	L1_interference	of	104
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	97
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	98
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	99
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	100
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	101
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	102
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	103
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	104
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	105
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	106
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	107
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	108
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	109
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	110
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	111
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	112
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	113
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	114
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	115
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	116
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	117
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	118
129	11	Discourse	From the points of naturalness and control under the speech, a corpus research becomes a better method to achieve more realistic results	Minor	Other	from the point of control, corpus research is worse that an experiment	119
130	11	Discourse	lies in a problem of	Minor	Other	is	129
130	11	Discourse	lies in a problem of	Minor	Other	is	130
130	11	Discourse	lies in a problem of	Minor	Other	is	131
130	11	Discourse	lies in a problem of	Minor	Other	is	132
130	11	Discourse	lies in a problem of	Minor	Other	is	133
131	11	Prepositions	on	Major	L1_interference	from	144
132	11	Discourse	marking -	Minor	Other	NA	164
132	11	Discourse	marking -	Minor	Other	NA	165
133	11	Countable_uncountable	es	Critical	Other	NA	NA
133	12	lex_item_choice	requirement	Major	L1_interference	demand	4
134	12	Discourse	becoming more and more frequent	Major	L1_interference	growing	9
134	12	Discourse	becoming more and more frequent	Major	L1_interference	growing	10
134	12	Discourse	becoming more and more frequent	Major	L1_interference	growing	11
134	12	Discourse	becoming more and more frequent	Major	L1_interference	growing	12
134	12	Discourse	becoming more and more frequent	Major	L1_interference	growing	13
135	12	Discourse	,	Minor	NA	, and	14
136	12	Formational_affixes	automatical	Major	Other	automatic	146
136	13	Countable_uncountable	There are many researchers of	NA	NA	There is abundant research on	2
136	13	Countable_uncountable	There are many researchers of	NA	NA	There is abundant research on	3
136	13	Countable_uncountable	There are many researchers of	NA	NA	There is abundant research on	4
136	13	Countable_uncountable	There are many researchers of	NA	NA	There is abundant research on	5
136	13	Countable_uncountable	There are many researchers of	NA	NA	There is abundant research on	6
137	13	Category_confusion	color and emotions connection	NA	NA	the connection between color and emotions	7
137	13	Category_confusion	color and emotions connection	NA	NA	the connection between color and emotions	8
137	13	Category_confusion	color and emotions connection	NA	NA	the connection between color and emotions	9
137	13	Category_confusion	color and emotions connection	NA	NA	the connection between color and emotions	10
138	13	Pronouns	them	NA	NA	it	15
139	13	lex_item_choice	were provide	NA	NA	was conducted	16
139	13	lex_item_choice	were provide	NA	NA	was conducted	17
140	13	Tense_form	NA	NA	NA	ed	NA
141	13	Art_choice	the	NA	NA	a	39
142	13	lex_item_choice	people	NA	NA	respondents	43
142	14	Determiners	no	Major	L1_interference	any	11
143	14	note	some separated facts	Major	L1_interference	from what are they separated?	19
143	14	note	some separated facts	Major	L1_interference	from what are they separated?	20
143	14	note	some separated facts	Major	L1_interference	from what are they separated?	21
144	14	lex_item_choice	gymnastic	Major	Other	gymnastics	133
145	14	note	in a professional way	Minor	Other	in another way	136
145	14	note	in a professional way	Minor	Other	in another way	137
145	14	note	in a professional way	Minor	Other	in another way	138
145	14	note	in a professional way	Minor	Other	in another way	139
146	14	Absence_comp_colloc	for God's sake	Major	Other	for the God's sake	158
146	14	Absence_comp_colloc	for God's sake	Major	Other	for the God's sake	159
146	14	Absence_comp_colloc	for God's sake	Major	Other	for the God's sake	160
146	14	Absence_comp_colloc	for God's sake	Major	Other	for the God's sake	161
147	14	Prepositions	in	Major	Other	at	171
148	14	Articles	Theatrical Art	Major	Absence_of_Category_in_L1	the Theatrical Art	NA
149	14	lex_item_choice	lower	Minor	Other	younger	265
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	240
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	241
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	242
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	244
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	245
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	246
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	247
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	248
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	249
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	250
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	251
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	252
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	253
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	254
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	255
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	256
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	257
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	258
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	259
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	260
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	261
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	262
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	263
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	264
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	265
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	266
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	267
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	268
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	269
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	270
150	14	note	Then, I'm averaging once a week try to communicate with somebody who is much older than me to gain in experience and someone lower to become a little bit kinder	Minor	Other	Why? What do you mean here?	271
151	14	note	But now it's impossible	Minor	Other	Why? What do you mean here?	326
151	14	note	But now it's impossible	Minor	Other	Why? What do you mean here?	327
151	14	note	But now it's impossible	Minor	Other	Why? What do you mean here?	328
151	14	note	But now it's impossible	Minor	Other	Why? What do you mean here?	329
151	14	note	But now it's impossible	Minor	Other	Why? What do you mean here?	330
152	14	Conjunctions	which	Major	Other	NA	332
153	14	lex_item_choice	fill	Minor	Typo	feel	335
154	14	Relative_clause	which	Major	Other	that	346
155	14	Conditionals	wouldn't be	Major	Other	were not	179
155	14	Conditionals	wouldn't be	Major	Other	were not	353
155	14	Conditionals	wouldn't be	Major	Other	were not	354
155	14	Conditionals	wouldn't be	Major	Other	were not	355
156	14	Transitive	gain in experience	Major	Other	gain experience	260
156	14	Transitive	gain in experience	Major	Other	gain experience	261
156	14	Transitive	gain in experience	Major	Other	gain experience	262
156	15	Absence_comp_colloc	o	NA	NA	get through	NA
157	15	Spelling	undopubtedly	NA	NA	undoubtedly	108
158	15	Spelling	liches	NA	NA	cliches	233
159	15	Pronouns	it's	NA	NA	its	304
160	15	Redundant	English language	NA	NA	English	330
160	15	Redundant	English language	NA	NA	English	331
161	15	Spelling	diligenc	NA	NA	diligence	343
162	15	Spelling	argueing	NA	NA	arguing	359
163	15	Pronouns	it's	NA	Other	its	361
164	15	Absence_comp_colloc	not much as	NA	NA	not as much as	375
164	15	Absence_comp_colloc	not much as	NA	NA	not as much as	412
164	15	Absence_comp_colloc	not much as	NA	NA	not as much as	413
164	15	Absence_comp_colloc	not much as	NA	NA	not as much as	414
164	16	Spelling	m	NA	NA	M	NA
165	16	Spelling	m	NA	NA	M	NA
166	16	Art_choice	urgent sides	NA	NA	the urgent sides	8
166	16	Art_choice	urgent sides	NA	NA	the urgent sides	9
167	16	Prepositions	of	NA	NA	NA	NA
168	16	lex_item_choice	consider	NA	NA	suppose/believe	40
169	16	Punctuation	however	NA	NA	,however,	52
170	16	Negation	with	NA	NA	with no	57
171	16	Absence_comp_colloc	no use	NA	NA	of no use	78
171	16	Absence_comp_colloc	no use	NA	NA	of no use	79
172	16	Art_choice	information	NA	NA	the information	128
173	16	Art_choice	attempt	NA	NA	an attempt	178
174	16	Animacy	what	NA	NA	which	191
175	16	Adverbs	happens	NA	NA	often happens	192
176	16	Abs_comp_clause	leads	NA	NA	, centralized control over mass media leads	197
177	16	Tautology	ensorship	NA	NA	it	NA
178	16	lex_item_choice	has	NA	NA	makes	227
179	16	lex_item_choice	consider	NA	NA	suspect	234
180	16	Word_choice	'usual	NA	NA	NA	238
180	16	Word_choice	'usual	NA	NA	NA	239
181	16	Quantifiers	NA	NA	NA	some	NA
182	16	Punctuation	that	NA	NA	that,	267
183	16	lex_item_choice	possible	NA	NA	likely	271
184	16	Redundant	serious events and deserving attention	NA	NA	serious events deserving attention	274
184	16	Redundant	serious events and deserving attention	NA	NA	serious events deserving attention	275
184	16	Redundant	serious events and deserving attention	NA	NA	serious events deserving attention	276
184	16	Redundant	serious events and deserving attention	NA	NA	serious events deserving attention	277
184	16	Redundant	serious events and deserving attention	NA	NA	serious events deserving attention	278
185	16	Prepositional_noun	reason of	Major	L1_interference	reason for	322
185	16	Prepositional_noun	reason of	Major	L1_interference	reason for	323
186	16	Absence_explanation	negative	Minor	Other	overwhelmingly negative	324
186	17	Tense_choice	ever tried	Major	Other	had tried	46
186	17	Tense_choice	ever tried	Major	Other	had tried	47
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	48
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	49
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	50
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	51
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	52
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	53
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	54
187	17	Word_order	at least once a kind of treatment with aloe	Critical	Other	any kind of aloe treatment at least once	55
188	17	lex_item_choice	or for the treatment of a variety of conditions and diseases	Critical	Other	as a remedy	262
188	17	lex_item_choice	or for the treatment of a variety of conditions and diseases	Critical	Other	as a remedy	263
